Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
ALK,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
ALOX12,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0
ALOX12P1,0,43,0,0,0,0,0,10,0,0,0,0,0,0,0
ALOX12P2,0,21,0,0,0,0,0,8,0,0,0,0,0,0,0
ALOX15,0,13,0,0,0,0,0,9,0,1,0,0,0,0,0
ALOX15B,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOX5,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0
ALOX5AP,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ALPG,0,3,1,0,0,0,0,5,0,2,0,0,0,0,0
ALPI,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0
ALPL,0,15,0,0,0,0,0,3,0,2,0,0,0,0,0
ALPP,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
AMACR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMCN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMD1,0,16,0,0,0,0,0,75,0,0,0,0,0,0,0
AMD1P2,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0
AMELX,0,25,0,0,0,0,0,18,0,0,0,0,0,0,0
AMELY,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0
AMFR,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0
AMH,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0
AMHR2,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0
AMOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPD1,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0
AMPD2,0,8,0,0,0,0,0,3,0,1,0,0,0,0,0
AMPD3,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0
AMPH,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0
AMT,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0
AMY1A,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0
AMY1B,0,12,0,0,0,0,0,5,0,1,0,0,0,0,0
AMY1C,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0
AMY2A,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0
AMY2B,0,14,0,0,0,0,0,23,0,1,0,0,0,0,0
AMYP1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0
ANCR,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0
ANG,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
ANGPT1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
ANGPT2,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0
ANGPTL3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANK1,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0
ANK2,0,29,0,0,0,0,0,9,0,0,0,0,0,0,0
ANK3,0,33,0,0,0,0,0,12,0,0,0,0,0,0,0
ANKFN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD30B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKS1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANO1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANOP1,0,1,0,0,0,0,0,4,0,37,0,0,0,0,0
ANPEP,0,8,0,0,0,0,0,10,0,26,0,0,0,0,0
ANTP2,0,8,0,0,0,0,0,9,0,4,0,0,0,0,0
ANTP4,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0
ANXA1,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0
ANXA11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA13,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0
